14 1.29989 0.00323262 17.8743 1.42653 1.29989 -0.00321732 17.8743 8.57373 -1.3 2.07174e-10 32.125 4.9 1.29998 -3.38372e-05 17.8748 5.09955
14.25 1.29989 0.00293921 18.1993 1.42726 1.29989 -0.00292432 18.1993 8.573 -1.3 2.03513e-10 31.8 4.9 1.29998 -3.34456e-05 18.1998 5.09954
14.5 1.29989 0.00265265 18.5243 1.42792 1.29989 -0.00263817 18.5243 8.57234 -1.3 1.99815e-10 31.475 4.9 1.29998 -3.30363e-05 18.5248 5.09953
14.75 1.29988 0.00237254 18.8492 1.42852 1.29988 -0.0023585 18.8492 8.57175 -1.3 1.96079e-10 31.15 4.9 1.29998 -3.26097e-05 18.8498 5.09952
15 1.29988 0.00209854 19.1742 1.42904 1.29988 -0.00208493 19.1742 8.57123 -1.3 1.92303e-10 30.825 4.9 1.29998 -3.21658e-05 19.1748 5.09952
15.25 1.29988 0.0018303 19.4992 1.4295 1.29988 -0.00181714 19.4992 8.57078 -1.3 1.88488e-10 30.5 4.9 1.29998 -3.17048e-05 19.4998 5.09951
15.5 1.29987 0.0015675 19.8241 1.42989 1.29987 -0.00155479 19.8241 8.57039 -1.3 1.84633e-10 30.175 4.9 1.29998 -3.12269e-05 19.8248 5.0995
15.75 1.29987 0.00130983 20.1491 1.43022 1.29987 -0.00129758 20.1491 8.57007 -1.3 1.80735e-10 29.85 4.9 1.29998 -3.07321e-05 20.1498 5.09949
16 1.29987 0.001057 20.4741 1.43048 1.29987 -0.00104521 20.4741 8.5698 -1.3 1.76796e-10 29.525 4.9 1.29998 -3.02207e-05 20.4748 5.09949
16.25 1.29986 0.000808733 20.799 1.43069 1.29987 -0.000797418 20.799 8.5696 -1.3 1.72813e-10 29.2 4.9 1.29998 -2.96928e-05 20.7998 5.09948
16.5 1.29986 0.00056476 21.124 1.43083 1.29986 -0.000553926 21.124 8.56947 -1.3 1.68778e-10 28.875 4.9 1.29998 -2.91484e-05 21.1248 5.09947
16.75 1.29986 0.000324829 21.449 1.43091 1.29986 -0.000314483 21.449 8.56939 -1.3 1.64522e-10 28.55 4.9 1.29998 -2.85877e-05 21.4498 5.09946
17 1.29986 8.86967e-05 21.7739 1.43093 1.29986 -7.88454e-05 21.7739 8.56937 -1.3 1.57711e-10 28.225 4.9 1.29998 -2.80107e-05 21.7748 5.09946
17.25 1.29985 -0.00014387 22.0989 1.43089 1.29985 0.00015322 22.0989 8.56941 -1.3 1.19672e-10 27.9 4.9 1.29998 -2.74174e-05 22.0998 5.09945
17.5 1.29985 -0.000373096 22.4239 1.4308 1.29985 0.00038194 22.4239 8.5695 -1.3 -2.75386e-10 27.575 4.9 1.29998 -2.68061e-05 22.4248 5.09944
17.75 1.29984 -0.000599201 22.7488 1.43065 1.29985 0.000607532 22.7488 8.56965 -1.3 -4.52716e-09 27.25 4.9 1.29998 -2.61608e-05 22.7498 5.09944
18 1.29984 -0.00082241 23.0738 1.43045 1.29984 0.000830217 23.0738 8.56986 -1.3 -4.85505e-08 26.925 4.9 1.29998 -2.53421e-05 23.0748 5.09943
18.25 1.29984 -0.001043 23.3987 1.43018 1.29984 0.00105025 23.3987 8.57012 -1.29999 -4.8645e-07 26.6 4.9 1.29995 -2.31247e-05 23.3998 5.09942
18.5 1.29983 -0.00126152 23.7237 1.42987 1.29983 0.00126804 23.7237 8.57044 -1.29991 -4.68773e-06 26.275 4.9 1.29976 -8.71814e-06 23.7247 5.09942
18.75 1.29983 -0.00147941 24.0486 1.4295 1.29983 0.00148454 24.0486 8.57081 -1.2994 -4.37912e-05 25.9502 4.89999 1.29843 0.000113311 24.0493 5.09945
19 1.29982 -0.00170024 24.3736 1.42907 1.29982 0.00170181 24.3736 8.57124 -1.29602 -0.000400103 25.6262 4.89989 1.29013 0.00119298 24.3718 5.09975
19.25 1.29981 -0.00192955 24.6986 1.42859 1.29982 0.00192279 24.6986 8.57172 -1.27645 -0.0036159 25.3071 4.89898 1.24717 0.0108568 24.6836 5.10246
19.5 1.2998 -0.00216806 25.0235 1.42805 1.29981 0.00214796 25.0235 8.57226 -1.19404 -0.0324943 25.0085 4.89086 1.13534 0.0953646 24.9675 5.1263
19.75 1.29981 -0.00240179 25.3485 1.42745 1.29981 0.00237295 25.3485 8.57285 -1.21386 -0.206067 24.7051 4.83934 1.34798 0.189494 25.3045 5.17368
20 1.29982 -0.00261828 25.6734 1.42679 1.29981 0.00258919 25.6734 8.5735 -1.39572 -0.178812 24.3562 4.79464 1.40586 0.125491 25.6559 5.20505
