3.5 1.517 -0.0624639 6.60392 4.21431 1.22166 -0.00721144 3.37635 4.88463 1.46418 0.00289974 6.60676 5.37566 1.35849 -0.0349834 5.37652 4.41882 1.43918 0.0246911 6.23586 6.56111 1.34676 0.0108792 5.27553 5.38642 1.26957 0.0751472 3.88036 5.96754 1.31006 -0.0809835 5.49193 3.32537 1.30289 -0.0840864 3.95178 3.78341 1.37308 0.0996346 5.01049 6.71465
3.75 1.49582 -0.0599563 6.97788 4.19932 1.22736 -0.00712551 3.68319 4.88285 1.4517 -0.0010774 6.96969 5.37539 1.35598 -0.0309864 5.71552 4.41108 1.4315 0.0189984 6.59374 6.56586 1.34046 0.0122793 5.61065 5.38949 1.27288 0.0689052 4.19858 5.98477 1.31127 -0.0730023 5.81974 3.30712 1.304 -0.0758642 4.27778 3.76444 1.37013 0.0890637 5.35302 6.73692
4 1.47822 -0.0574702 7.34743 4.18495 1.23213 -0.00696664 3.99122 4.88111 1.44113 -0.00447239 7.32997 5.37427 1.35395 -0.0274713 6.054 4.40421 1.42476 0.0142667 6.94993 6.56943 1.33552 0.0128876 5.94453 5.39271 1.27559 0.0634179 4.51747 6.00062 1.3122 -0.0662351 6.1478 3.29056 1.30485 -0.0687849 4.60399 3.74725 1.36745 0.0800168 5.69488 6.75692
4.25 1.4635 -0.0550585 7.71331 4.17119 1.23619 -0.00675779 4.30027 4.87942 1.43207 -0.00735341 7.68799 5.37243 1.35227 -0.024377 6.39207 4.39811 1.41878 0.0102646 7.30462 6.57199 1.33157 0.0129604 6.27742 5.39595 1.27786 0.0585484 4.83694 6.01526 1.31294 -0.0603734 6.47603 3.27547 1.30552 -0.0626093 4.93037 3.73159 1.365 0.0721536 6.03613 6.77496
4.5 1.45111 -0.0527574 8.07608 4.158 1.2397 -0.00651783 4.61019 4.87779 1.4242 -0.00978942 8.04404 5.36999 1.35087 -0.0216579 6.72979 4.3927 1.41343 0.00682751 7.65798 6.5737 1.32833 0.0126772 6.6095 5.39912 1.2798 0.0541925 5.15689 6.02881 1.31352 -0.0552059 6.80441 3.26167 1.30606 -0.0571603 5.25689 3.7173 1.36276 0.0652294 6.37682 6.79127
4.75 1.44058 -0.0505867 8.43623 4.14535 1.24277 -0.00626087 4.92089 4.87622 1.41731 -0.0118451 8.39837 5.36703 1.34969 -0.0192732 7.06721 4.38788 1.4086 0.00383629 8.01013 6.57466 1.32562 0.0121608 6.94091 5.40216 1.28148 0.050269 5.47726 6.04137 1.31399 -0.0505856 7.13291 3.24902 1.3065 -0.0523048 5.58351 3.70423 1.36071 0.0590653 6.717 6.80603
5 1.43154 -0.048553 8.79411 4.13321 1.24548 -0.0059969 5.23226 4.87472 1.41122 -0.0135787 8.75117 5.36363 1.34869 -0.0171836 7.40438 4.38359 1.4042 0.00120335 8.36118 6.57496 1.32331 0.0114937 7.27174 5.40504 1.28296 0.0467137 5.798 6.05305 1.31436 -0.0464078 7.4615 3.23742 1.30688 -0.0479413 5.91023 3.69224 1.35881 0.0535277 7.0567 6.81941
5.25 1.42372 -0.0466549 9.15004 4.12155 1.24788 -0.00573268 5.54423 4.87329 1.4058 -0.0150406 9.10262 5.35987 1.34784 -0.0153517 7.74134 4.37975 1.40018 -0.00113702 8.71122 6.57468 1.32131 0.010731 7.60207 5.40772 1.28427 0.0434746 6.11907 6.06392 1.31465 -0.0425961 7.79016 3.22677 1.30721 -0.043991 6.23703 3.68125 1.35705 0.0485149 7.39597 6.83154
5.5 1.4169 -0.0448859 9.50427 4.11033 1.25004 -0.00547263 5.85674 4.87192 1.40094 -0.016274 9.45286 5.3558 1.34713 -0.0137424 8.07812 4.37631 1.39648 -0.00323502 9.06034 6.57387 1.31955 0.00990886 7.93195 5.4102 1.28544 0.0405095 6.44043 6.07405 1.31488 -0.0390933 8.11888 3.217 1.3075 -0.040392 6.56391 3.67115 1.35542 0.0439478 7.73482 6.84253
5.75 1.4109 -0.0432369 9.85699 4.09952 1.25198 -0.00521949 6.16973 4.87062 1.39656 -0.0173154 9.802 5.35147 1.34654 -0.0123237 8.41476 4.37323 1.39305 -0.00512966 9.40861 6.57258 1.31799 0.00905125 8.26145 5.41246 1.2865 0.0377832 6.76205 6.08349 1.31506 -0.0358551 8.44765 3.20803 1.30776 -0.0370945 6.89085 3.66187 1.3539 0.0397637 8.07329 6.85247
